date,time,title
20160416.0,00:00,全球最大黄金ETF--SPDR GOLD TRUST持仓较上日增加5.64吨，当前
20160416.0,00:00,金价日内收高难抵周线下跌 银价表现靓丽
20160416.0,00:00,全球最大黄金ETF--SPDR GOLD TRUST持仓较上日增加5.64吨，至812.46吨
20160416.0,00:00,北京时间0-3点 现货黄金日高震荡，现报1233.05美元/盎司，日升0.43%
20160416.0,00:00,期金收盘美国COMEX 6月黄金期货价格周五收盘上涨8.10美元，涨幅0.7%，
20160416.0,00:00,伦敦金属交易所(LME)三个月期铝价周五收盘下跌4美元，报1556美元/吨； 伦
20160416.0,00:00,04月16日黄金ETF持仓最新报价
20160415.0,00:00,北京时间22点行情播报 现货黄金窄幅震荡，现报1229.64美元/盎司，日
20160415.0,00:00,密歇根大学消费者信心指数不佳，美元急挫黄金上涨美国4月密歇根大学消
20160415.0,00:00,美国3月工业产出月率降幅扩大且不及预期，美元指数微跌至94.80一线，金价急升2美元至1229美元/盎司
20160415.0,00:00,黄金低位反弹，调整仍未结束
20160415.0,00:00,伦敦现货黄金周五早盘定盘价为1229.75美元/盎司
20160415.0,00:00,04月15日山东招金最新回购金价257.09
20160415.0,00:00,自黄金十字星坚定空 周未收尾顺势做空再看新低 
20160415.0,00:00,04月15日山东招金最新回购金价256.26
20160415.0,00:00,【汇通提示】自2012年以来，银价首次领涨金价，小兄弟超越老大哥终于不是梦
20160415.0,00:00,SPDR黄金持仓连续第四次减少全球最大黄金ETF--SPDR GOLD T
20160415.0,00:00,逾三周来最大单日跌幅 金价暗藏杀机
20160415.0,00:00,北京时间0-3点 现货黄金日低震荡，现报1224.92美元/盎司，日跌1.42%
20160415.0,00:00,【期金收盘】美国COMEX 6月黄金期货价格周四收盘重挫21.80美元，跌幅1.8%，报1226.50美元/盎司
20160415.0,00:00,伦敦金属交易所(LME)三个月期铝价周四收盘与前一日几乎持平，报1560美元/
20160415.0,00:00,04月15日黄金ETF持仓最新报价
20160414.0,00:00,04月14日山东招金最新回购金价257.39
20160414.0,00:00,美元回升黄金溃逃1130 白银孤军深入难逃下跌
20160414.0,00:00,04月14日山东招金最新回购金价257.08
20160414.0,00:00,04月14日黄金ETF持仓最新报价
20160413.0,00:00,04月13日山东招金最新回购金价259.90
20160413.0,00:00,04月13日山东招金最新回购金价260.86
20160413.0,00:00,04月13日黄金ETF持仓最新报价
20160412.0,00:00,北京时间19点行情播报 现货黄金冲高回落，现报1256.51美元/盎司，日
20160412.0,00:00,伦敦现货黄金周二早盘定盘价为1259.20美元/盎司
20160408.0,00:00,北京时间17点行情播报 现货黄金小幅走弱，现报1234.84美元/盎司，日
20160412.0,00:00,04月12日山东招金最新回购金价260.84
20160412.0,00:00,04月12日山东招金最新回购金价260.65
20160412.0,00:00,FED“错误决策”为黄金构建数年最坚实的上涨基础
20160412.0,00:00,北京时间0-3点 现货黄金日高震荡，现报1256.81美元/盎司，日升1.39%
20160412.0,00:00,美国COMEX 6月黄金期货价格周一收盘上涨14.20美元，涨幅1.1%，报1258.00美元/盎司，实现三连涨
20160412.0,00:00,04月12日黄金ETF持仓最新报价
20160411.0,00:00,04月11日山东招金最新回购金价259.85
20160411.0,00:00,黄金站稳1244一线强势上攻 原油回测继续涨
20160411.0,00:00,黄金震荡区间上移 原油高空博回踩
20160411.0,00:00,04月11日山东招金最新回购金价259.90
20160411.0,00:00,04月11日黄金ETF持仓最新报价
20160410.0,00:00,04月10日黄金ETF持仓最新报价
20160409.0,00:00,实体店铺租金连涨 商务部将扶持建设公益性市场商务部表示，将加
20160409.0,00:00,四川路桥一季度中标合同金额为56.36亿元人民币
20160409.0,00:00,全球央行2月减少黄金购买 受季节性因素影响世界黄金协会最新数据
20160409.0,00:00,贵金属走强 白银T+D周五夜盘上涨
20160409.0,00:00,金价V反收涨 录得三周来最大单周涨幅
20160409.0,00:00,金价V反收涨 录得三周来最大单周涨幅
20160409.0,00:00,全球最大黄金ETF--SPDR GOLD TRUST持仓较上日减少0.22%，至817.81吨
20160409.0,00:00,北京时间2-4点 现货黄金日高震荡，现报1240.03美元/盎司，日升0.03%
20160409.0,00:00,北京时间0-2点 现货黄金小幅攀升，现报1241.03美元/盎司，日升0.09%
20160409.0,00:00,美国COMEX 6月黄金期货价格周五收盘上涨6.30美元，涨幅0.5%，报1243.80美元/盎司
20160409.0,00:00,伦敦金属交易所(LME)三个月期铝价周五收盘上涨16美元，报1520美元/吨；
20160409.0,00:00,04月09日黄金ETF持仓最新报价
20160408.0,00:00,北京时间17点行情播报 现货黄金小幅走弱，现报1234.84美元/盎司，日
20160408.0,00:00,北京时间16点行情播报 现货黄金小幅走弱，现报1236.72美元/盎司，日
20160408.0,00:00,"伦敦金属交易所(LME)铜库存增加675吨，铝库存减少6,875吨，锌库存减少275"
20160408.0,00:00,第一金:加息被延迟越久，那么对金价就越好
20160408.0,00:00,耶伦点名“批评”美元 黄金突破1240前程似锦 
20160408.0,00:00,04月08日山东招金最新回购金价257.75
20160408.0,00:00,4月7日ishares黄金持仓增加0.3吨/白银持仓持平
20160408.0,00:00,日内关注1244的阻力 黄金回落再决择
20160408.0,00:00,日内关注1244的阻力 黄金回落再决择
20160408.0,00:00,04月08日山东招金最新回购金价257.64
20160408.0,00:00,黄金“铆牢”美联储
20160408.0,00:00,金价大涨 因美联储意见分歧及股市大跌
20160408.0,00:00,黄金三角形向上突破 短期阻力关注上周高点
20160408.0,00:00,美国COMEX 6月黄金期货价格周四收盘上涨12.40美元，涨幅1.1%，报1236.20美元/盎司
20160408.0,00:00,黄金黑金再度分道扬镳 欧元遭遇“滑铁卢”
20160408.0,00:00,04月08日黄金ETF持仓最新报价
20160407.0,00:00,美联储加息分歧加剧 黄金多空激战现震荡
20160407.0,00:00,04月07日山东招金最新回购金价255.50
20160407.0,00:00,日线阴阳循环 黄金早盘做多看1235
20160407.0,00:00,美联储纪要显示加息前景遭激辩 黄金波幅或加大
20160407.0,00:00,黄金下挫迎纪要 股市及美元反弹
20160407.0,00:00,白银表现逊于黄金 分析师指贵金属牛市蒙上阴影
20160407.0,00:00,美联储纪要波澜不惊 黄金跌势不改 
20160407.0,00:00,美联储纪要未形成支撑 黄金上演“惊魂一刻” 
20160407.0,00:00,风险偏好提振施压金价 美联储纪要影响寥寥
20160407.0,00:00,黄金小时图短期三角形整理 目前接近型态末端
20160407.0,00:00,04月07日黄金ETF持仓最新报价
20160406.0,00:00,金价小跌险守5日均线 关注美联储会议纪要
20160406.0,00:00,04月06日山东招金最新回购金价256.33
20160406.0,00:00,全球股市大跌提振黄金 转战美联储3月纪要
20160406.0,00:00,04月06日山东招金最新回购金价256.55
20160406.0,00:00,避险促黄金冲高 回落有限低多不变
20160406.0,00:00,希腊将再次回到头条新闻 利好黄金
20160406.0,00:00,股市走弱及所谓的市场风险再度支撑贵金属
20160406.0,00:00,黄金反弹助价格从低位拉升 但涨幅仍受限制
20160406.0,00:00,避险需求推升 黄金强势上涨收复失地
20160406.0,00:00,04月06日黄金ETF持仓最新报价
20160405.0,00:00,北京时间19点行情播报 现货黄金大幅反弹，现报1233.21美元/盎司，日
20160405.0,00:00,伦敦现货黄金周二早盘定盘价为1231.50美元/盎司
