date,time,title
20170506.0,07:07,CFTC：黄金净多仓七周以来首遭减持 白银看多押注连降三周
20170506.0,04:00,黄金本周累跌3.3% 创今年最大单周跌幅
20170506.0,03:48,黄金一周大跌3.3% 创年内最大单周跌幅
20170506.0,02:59,黄金价格跌势仍未有止歇
20170506.0,01:18,非农数据出炉好于预期 黄金价格短线暴跌后市堪忧
20170506.0,01:05,非农虽强仍有瑕疵 黄金止跌迈向半年来最差一周
20170506.0,00:04,中国一带一路高峰论坛召开对黄金价格有什么影响？
20170506.0,00:04,黄金小幅反弹 有望录得半年来最大周跌幅
20170505.0,22:35,金荣中国：黄金一路下跌 非农或反弹
20170505.0,22:30,金荣中国：黄金等非农探底回升 短期不建议追空
20170505.0,22:12,市场对抄底黄金蠢蠢欲动 这或许又是一个陷阱
20170505.0,21:20,黄金大头朝下 这波要栽到哪里去？（强弱指标直观化）
20170505.0,20:32,金荣中国：非农数据参差不齐 黄金看震荡洗盘
20170505.0,20:22,dailyfx:5.5黄金和原油行情分析
20170505.0,20:00,法国大选这次也难救黄金了
20170505.0,19:45,高盛：金价大幅下跌就是买入机会
20170505.0,17:29,货币从紧节奏加快 现货黄金或创6个月最大周跌幅
20170505.0,16:51,法国大选第二轮投票将至 黄金能否等来期待的“黑天鹅”？
20170505.0,16:50,世界黄金协会：世界黄金需求量大跌18%
20170505.0,16:24,瑞达期货：市场聚焦非农 金价下行风险仍大
20170505.0,16:09,兴业投资：空头止不住 黄金续跌迎接非农审判
20170505.0,16:09,各国央行弃金而去？黄金需求降至近6年低位
20170505.0,16:07,摩根大通：中长期看涨黄金 短线回调1209、1164为大概率事件
20170505.0,15:45,法兴维持贵金属中性观点 黄金测试支撑1230命悬一线
20170505.0,14:45,大国疯狂囤金之际  为何这家央行却抛的一个子都不剩？
20170505.0,14:40,金价跌破1242即意味着今年上升趋势的终结 目标1168
20170505.0,14:22,现货黄金跳崖式暴跌！法国大选真能救黄金价格于水火吗？
20170505.0,14:10,现货黄金轰然“崩塌” 失守1230美元触及七周新低
20170505.0,13:55,登富特：黄金跌跌不休 白银通道内向下
20170505.0,13:38,IC Markets：黄金价格续挫创六周新低 市场瞩目非农就业报告
20170505.0,13:31,房地产行业对黄金价格有何影响？
20170505.0,13:30,WGC：黄金需求同比下滑18% 投资需求依旧稳定
